signal_date,ticker,strategy,signal,close,rsi,deviation,score,adx,ret_5d,ticker_class
2026-05-13,TQQQ,逆張り,HOLD,77.24,81.1,28.63,,,,
2026-05-13,TSLL,逆張り,HOLD,16.84,73.6,23.71,,,,
2026-05-13,TSM,逆張り,HOLD,399.8,54.6,5.42,,,,
2026-05-13,UPRO,逆張り,HOLD,141.83,79.5,15.36,,,,
2026-05-14,AAPL,トレンドフォロー,HOLD,298.21,78.7,8.93,,,,
2026-05-14,AMAT,トレンドフォロー,HOLD,440.56,64.7,11.94,,,,
2026-05-14,AMD,トレンドフォロー,HOLD,449.7,76.6,39.49,,,,
2026-05-14,AMZN,トレンドフォロー,HOLD,267.22,59.0,7.23,,,,
2026-05-14,AVGO,トレンドフォロー,HOLD,439.79,66.4,12.81,,,,
2026-05-14,CLSK,トレンドフォロー,HOLD,13.98,62.2,16.83,,,,
2026-05-14,COIN,トレンドフォロー,HOLD,212.01,59.6,8.56,,,,
2026-05-14,FNGG,トレンドフォロー,HOLD,243.48,79.8,19.17,,,,
2026-05-14,GOOGL,トレンドフォロー,HOLD,401.07,74.2,13.93,,,,
2026-05-14,INTC,トレンドフォロー,HOLD,115.93,66.9,39.93,,,,
2026-05-14,IWM,トレンドフォロー,HOLD,284.45,64.2,4.8,,,,
2026-05-14,META,トレンドフォロー,HOLD,618.43,46.8,-1.51,,,,
2026-05-14,MSFT,トレンドフォロー,HOLD,409.43,48.4,0.43,,,,
2026-05-14,MSTR,トレンドフォロー,HOLD,186.97,59.9,14.71,,,,
2026-05-14,MU,トレンドフォロー,HOLD,776.01,75.5,42.74,,,,
2026-05-14,NUGT,トレンドフォロー,HOLD,191.44,50.6,-2.4,,,,
2026-05-14,NVDA,トレンドフォロー,HOLD,235.74,80.8,17.32,,,,
2026-05-14,QCOM,トレンドフォロー,HOLD,200.08,59.3,21.69,,,,
2026-05-14,QQQ,トレンドフォロー,HOLD,719.79,83.1,10.0,,,,
